Model,Best Params,MAE,MSE,RMSE,R2,Selected Features,Target Variable,Target Transformation
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",28.467305622778568,2127.816641635299,46.12826293754512,0.1682042511415263,"['RIDAGEMN', 'RIDEXPRG', 'LBDBMNSI', 'LBDBSESI', 'LBDBPBSI', 'LBDBCDSI', 'LBDTHGSI', 'RIAGENDR', 'RHQ160']",LBXSHBG,
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",28.467305622778568,2127.816641635299,46.12826293754512,0.1682042511415263,"['RIDAGEMN', 'RIDEXPRG', 'LBDBMNSI', 'LBDBSESI', 'LBDBPBSI', 'LBDBCDSI', 'LBDTHGSI', 'RIAGENDR', 'RHQ160']",LBXSHBG,
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",61.96787236540125,13616.94554734846,116.69166871438792,0.7433731177641288,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'LBDTHGSI', 'RHQ160', 'RIDEXPRG']",LBXTST,
XGBRegressor,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",61.9871790614746,13609.68891677812,116.66057138887209,0.7435098772504856,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBSESI', 'LBDBPBSI', 'LBDTHGSI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",61.67178476232189,13851.791380259849,117.69363355874373,0.7389471799723843,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBPBSI', 'LBDTHGSI', 'LBXBSE', 'LBDBSESI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
GradientBoostingRegressor,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.8}",62.33783929086616,13939.85525587688,118.06716417309632,0.7372875157137131,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBPBSI', 'LBDTHGSI', 'LBXBSE', 'LBDBSESI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
RandomForestRegressor,"{'max_depth': 5, 'n_estimators': 100}",60.05258035119238,13375.601467490837,115.6529354036932,0.7479215224371583,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBPBSI', 'LBDTHGSI', 'LBXBSE', 'LBDBSESI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
GradientBoostingRegressor,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",62.21338726962999,13673.178498267507,116.93236719688656,0.74231334361558,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBPBSI', 'LBDTHGSI', 'LBXBSE', 'LBDBSESI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",62.699407157199886,13790.621588668051,117.43347729105211,0.740099994518689,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBPBSI', 'LBDTHGSI', 'LBXBSE', 'LBDBSESI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
LGBMRegressor,"{'learning_rate': 0.05, 'max_depth': -1, 'n_estimators': 200}",65.4074629681758,14991.60582868686,122.44021328259298,0.7174660756226514,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBPBSI', 'LBDTHGSI', 'LBXBSE', 'LBDBSESI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
CatBoostRegressor,"{'depth': 10, 'iterations': 200, 'learning_rate': 0.05}",62.56831248982282,14134.527929058284,118.8887207814866,0.7336186869737176,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBPBSI', 'LBDTHGSI', 'LBXBSE', 'LBDBSESI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
RandomForestRegressor,"{'max_depth': 7, 'n_estimators': 500}",60.28066570304529,13425.55786683699,115.86870961064938,0.7469800370675241,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBPBSI', 'LBDTHGSI', 'LBXBSE', 'LBDBSESI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
GradientBoostingRegressor,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",62.21338726962999,13673.178498267507,116.93236719688656,0.74231334361558,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBPBSI', 'LBDTHGSI', 'LBXBSE', 'LBDBSESI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",62.699407157199886,13790.621588668051,117.43347729105211,0.740099994518689,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBPBSI', 'LBDTHGSI', 'LBXBSE', 'LBDBSESI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
LGBMRegressor,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",63.2405425602233,13799.656455817752,117.47193901446316,0.7399297221341824,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBPBSI', 'LBDTHGSI', 'LBXBSE', 'LBDBSESI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
CatBoostRegressor,"{'depth': 5, 'iterations': 200, 'learning_rate': 0.05}",61.55641409816368,13608.30463884508,116.65463830832051,0.7435359655482516,"['RIAGENDR', 'RIDAGEMN', 'LBDBMNSI', 'LBDBCDSI', 'LBDBPBSI', 'LBDTHGSI', 'LBXBSE', 'LBDBSESI', 'RHQ160', 'RIDEXPRG', 'RHQ542D']",LBXTST,
XGBRegressor,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50}",36.99331529879922,35807.27372510953,189.228099723877,0.6692950607570263,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RHQ542D', 'RIAGENDR']",LBXEST,
RandomForestRegressor,"{'max_depth': 10, 'n_estimators': 100}",43.28106191457301,69414.80609445968,263.4668975307139,0.3589062544034586,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RHQ542D', 'RIAGENDR']",LBXEST,
GradientBoostingRegressor,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}",47.09485943927245,113399.03471058798,336.74773155967654,-0.0473185189153115,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RHQ542D', 'RIAGENDR']",LBXEST,
XGBRegressor,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 1000}",40.67404437710616,42110.391941641166,205.20816733658816,0.6110814044244678,"['RIDEXPRG', 'LBDBSESI', 'LBDTHGSI', 'LBDBCDSI', 'LBDBPBSI', 'RIDAGEMN', 'RHQ160', 'LBDBMNSI', 'RHQ542D', 'RIAGENDR']",LBXEST,
